Afar,aa,aawiki,http://dumps.wikimedia.org/aawiki/latest/aawiki-latest-pages-articles.xml.bz2,01-May-2016,33620
Abkhazian,ab,abwiki,http://dumps.wikimedia.org/abwiki/latest/abwiki-latest-pages-articles.xml.bz2,01-May-2016,674985
Acehnese,ace,acewiki,http://dumps.wikimedia.org/acewiki/latest/acewiki-latest-pages-articles.xml.bz2,01-May-2016,1866220
Afrikaans,af,afwiki,http://dumps.wikimedia.org/afwiki/latest/afwiki-latest-pages-articles.xml.bz2,01-May-2016,51656957
Akan,ak,akwiki,http://dumps.wikimedia.org/akwiki/latest/akwiki-latest-pages-articles.xml.bz2,01-May-2016,210151
Alemannic,als,alswiki,http://dumps.wikimedia.org/alswiki/latest/alswiki-latest-pages-articles.xml.bz2,01-May-2016,35900623
Amharic,am,amwiki,http://dumps.wikimedia.org/amwiki/latest/amwiki-latest-pages-articles.xml.bz2,01-May-2016,4852414
Anglo-Saxon,ang,angwiki,http://dumps.wikimedia.org/angwiki/latest/angwiki-latest-pages-articles.xml.bz2,01-May-2016,3243283
Aragonese,an,anwiki,http://dumps.wikimedia.org/anwiki/latest/anwiki-latest-pages-articles.xml.bz2,01-May-2016,25802576
Aramaic,arc,arcwiki,http://dumps.wikimedia.org/arcwiki/latest/arcwiki-latest-pages-articles.xml.bz2,01-May-2016,802308
Arabic,ar,arwiki,http://dumps.wikimedia.org/arwiki/latest/arwiki-latest-pages-articles.xml.bz2,01-May-2016,485913625
Egyptian Arabic,arz,arzwiki,http://dumps.wikimedia.org/arzwiki/latest/arzwiki-latest-pages-articles.xml.bz2,01-May-2016,13693716
Asturian,ast,astwiki,http://dumps.wikimedia.org/astwiki/latest/astwiki-latest-pages-articles.xml.bz2,01-May-2016,53350784
Assamese,as,aswiki,http://dumps.wikimedia.org/aswiki/latest/aswiki-latest-pages-articles.xml.bz2,01-May-2016,15905926
Avar,av,avwiki,http://dumps.wikimedia.org/avwiki/latest/avwiki-latest-pages-articles.xml.bz2,01-May-2016,3213652
Aymara,ay,aywiki,http://dumps.wikimedia.org/aywiki/latest/aywiki-latest-pages-articles.xml.bz2,01-May-2016,1440493
Azerbaijani,az,azwiki,http://dumps.wikimedia.org/azwiki/latest/azwiki-latest-pages-articles.xml.bz2,01-May-2016,97495096
Bavarian,bar,barwiki,http://dumps.wikimedia.org/barwiki/latest/barwiki-latest-pages-articles.xml.bz2,01-May-2016,20704555
Samogitian,bat-smg,bat_smgwiki,http://dumps.wikimedia.org/bat_smgwiki/latest/bat_smgwiki-latest-pages-articles.xml.bz2,01-May-2016,3553578
Bashkir,ba,bawiki,http://dumps.wikimedia.org/bawiki/latest/bawiki-latest-pages-articles.xml.bz2,01-May-2016,26190252
Central Bicolano,bcl,bclwiki,http://dumps.wikimedia.org/bclwiki/latest/bclwiki-latest-pages-articles.xml.bz2,01-May-2016,3113545
Belarusian,be,bewiki,http://dumps.wikimedia.org/bewiki/latest/bewiki-latest-pages-articles.xml.bz2,01-May-2016,122547378
Belarusian (Tara_kievica),be-x-old,be_x_oldwiki,http://dumps.wikimedia.org/be_x_oldwiki/latest/be_x_oldwiki-latest-pages-articles.xml.bz2,01-May-2016,59636680
Bulgarian,bg,bgwiki,http://dumps.wikimedia.org/bgwiki/latest/bgwiki-latest-pages-articles.xml.bz2,01-May-2016,262422744
Bhojpuri,bh,bhwiki,http://dumps.wikimedia.org/bhwiki/latest/bhwiki-latest-pages-articles.xml.bz2,01-May-2016,5412852
Bislama,bi,biwiki,http://dumps.wikimedia.org/biwiki/latest/biwiki-latest-pages-articles.xml.bz2,01-May-2016,237698
Banjar,bjn,bjnwiki,http://dumps.wikimedia.org/bjnwiki/latest/bjnwiki-latest-pages-articles.xml.bz2,01-May-2016,1781538
Bambara,bm,bmwiki,http://dumps.wikimedia.org/bmwiki/latest/bmwiki-latest-pages-articles.xml.bz2,01-May-2016,344479
Bengali,bn,bnwiki,http://dumps.wikimedia.org/bnwiki/latest/bnwiki-latest-pages-articles.xml.bz2,01-May-2016,83902016
Tibetan,bo,bowiki,http://dumps.wikimedia.org/bowiki/latest/bowiki-latest-pages-articles.xml.bz2,01-May-2016,6086152
Bishnupriya Manipuri,bpy,bpywiki,http://dumps.wikimedia.org/bpywiki/latest/bpywiki-latest-pages-articles.xml.bz2,01-May-2016,4507061
Breton,br,brwiki,http://dumps.wikimedia.org/brwiki/latest/brwiki-latest-pages-articles.xml.bz2,01-May-2016,39183900
Bosnian,bs,bswiki,http://dumps.wikimedia.org/bswiki/latest/bswiki-latest-pages-articles.xml.bz2,01-May-2016,82616818
Buginese,bug,bugwiki,http://dumps.wikimedia.org/bugwiki/latest/bugwiki-latest-pages-articles.xml.bz2,01-May-2016,1518632
Buryat,bxr,bxrwiki,http://dumps.wikimedia.org/bxrwiki/latest/bxrwiki-latest-pages-articles.xml.bz2,01-May-2016,2498264
Catalan,ca,cawiki,http://dumps.wikimedia.org/cawiki/latest/cawiki-latest-pages-articles.xml.bz2,01-May-2016,663114285
Chavacano,cbk-zam,cbk_zamwiki,http://dumps.wikimedia.org/cbk_zamwiki/latest/cbk_zamwiki-latest-pages-articles.xml.bz2,01-May-2016,1942277
Min Dong,cdo,cdowiki,http://dumps.wikimedia.org/cdowiki/latest/cdowiki-latest-pages-articles.xml.bz2,01-May-2016,1512498
Cebuano,ceb,cebwiki,http://dumps.wikimedia.org/cebwiki/latest/cebwiki-latest-pages-articles.xml.bz2,01-May-2016,449171591
Chechen,ce,cewiki,http://dumps.wikimedia.org/cewiki/latest/cewiki-latest-pages-articles.xml.bz2,01-May-2016,27000275
Choctaw,cho,chowiki,http://dumps.wikimedia.org/chowiki/latest/chowiki-latest-pages-articles.xml.bz2,01-May-2016,16704
Cherokee,chr,chrwiki,http://dumps.wikimedia.org/chrwiki/latest/chrwiki-latest-pages-articles.xml.bz2,01-May-2016,1361352
Chamorro,ch,chwiki,http://dumps.wikimedia.org/chwiki/latest/chwiki-latest-pages-articles.xml.bz2,01-May-2016,613843
Cheyenne,chy,chywiki,http://dumps.wikimedia.org/chywiki/latest/chywiki-latest-pages-articles.xml.bz2,01-May-2016,252272
